file_key,one_shot_solved,one_shot_time_mean,cadical_solved,cadical_time,pattern,method,paper_name,parallel_solved,parallel_time,winner,online_solved,online_time_mean,old_compact_solved,old_compact_time_mean,local_correction_solved,local_correction_time_mean
3sat_32.cnf,False,60.2925532749176,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_33.cnf,False,60.28798660825094,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_34.cnf,False,60.29351994158427,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_35.cnf,False,60.29568660825094,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_36.cnf,False,60.28810540517171,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_37.cnf,False,60.28273873850505,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_38.cnf,False,60.29473873850504,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_39.cnf,False,60.28887207183838,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_4.cnf,False,60.28117207183838,True,46.46183716319501,0000,one_shot,One-shot,True,46.46183716319501,cadical,,,,,,
3sat_40.cnf,False,60.284038738505046,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_41.cnf,False,60.28833873850505,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_42.cnf,False,60.29000540517171,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_43.cnf,False,60.29160540517171,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_44.cnf,False,60.29683873850505,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_45.cnf,False,60.32781450436911,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_46.cnf,True,36.742914504369104,True,1.459800926968455,1111,one_shot,One-shot,True,1.459800926968455,cadical,,,,,,
3sat_47.cnf,True,2.8654145043691,True,0.6218615197576582,1111,one_shot,One-shot,True,0.6218615197576582,cadical,,,,,,
3sat_48.cnf,False,60.3296145043691,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_49.cnf,False,60.3245145043691,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_5.cnf,False,60.33644783770245,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_50.cnf,False,60.343714504369096,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_51.cnf,False,60.3352145043691,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_52.cnf,False,60.3314145043691,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_53.cnf,False,60.32144783770244,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_54.cnf,True,21.948371445337937,True,5.030556058045477,1111,one_shot,One-shot,True,5.030556058045477,cadical,,,,,,
3sat_55.cnf,False,60.28517144533794,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_56.cnf,False,60.2901381120046,True,18.39492767164484,0000,one_shot,One-shot,True,18.39492767164484,cadical,,,,,,
3sat_57.cnf,False,60.2933381120046,True,47.37102061184123,0000,one_shot,One-shot,True,47.37102061184123,cadical,,,,,,
3sat_58.cnf,False,60.2910381120046,True,6.990795596968383,0000,one_shot,One-shot,True,6.990795596968383,cadical,,,,,,
3sat_59.cnf,False,60.28913811200459,True,0.5967489751055837,0000,one_shot,One-shot,True,0.5967489751055837,cadical,,,,,,
3sat_6.cnf,False,60.288271445337934,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_60.cnf,False,60.2861381120046,True,26.81406234530732,0000,one_shot,One-shot,True,26.81406234530732,cadical,,,,,,
3sat_61.cnf,False,60.28917144533793,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_62.cnf,False,60.28640477867126,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_63.cnf,True,5.27007304918925,True,40.523911610711366,1111,one_shot,One-shot,True,5.27007304918925,one_shot,,,,,,
3sat_64.cnf,False,60.29299638252258,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_65.cnf,True,0.3204327158559163,True,0.6187135926447809,1111,one_shot,One-shot,True,0.3204327158559163,one_shot,,,,,,
3sat_66.cnf,False,60.28759638252259,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_67.cnf,False,60.30402971585591,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_68.cnf,False,60.29476304918925,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_69.cnf,False,60.29229638252258,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_7.cnf,False,60.29936304918925,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_70.cnf,True,0.3566977158559163,True,5.101964577101171,1111,one_shot,One-shot,True,0.3566977158559163,one_shot,,,,,,
3sat_71.cnf,False,60.29292971585591,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_72.cnf,False,60.32657661908468,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_73.cnf,False,60.32357661908468,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_74.cnf,False,60.32694328575135,True,44.43337680818513,0000,one_shot,One-shot,True,44.43337680818513,cadical,,,,,,
3sat_75.cnf,False,60.32484328575134,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_76.cnf,False,60.333243285751344,True,37.73084889911115,0000,one_shot,One-shot,True,37.73084889911115,cadical,,,,,,
3sat_77.cnf,False,60.32204328575134,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_78.cnf,False,60.32057661908468,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_79.cnf,False,60.325609952418006,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_8.cnf,False,60.33117661908468,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_80.cnf,False,60.315109952418005,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_81.cnf,False,60.279163913345336,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_82.cnf,True,25.72486391334534,True,2.7282467340119183,1111,one_shot,One-shot,True,2.7282467340119183,cadical,,,,,,
3sat_83.cnf,False,60.29213058001201,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_84.cnf,False,60.283863913345336,True,26.10006245179102,0000,one_shot,One-shot,True,26.10006245179102,cadical,,,,,,
3sat_85.cnf,False,60.29806391334534,True,18.391694094985723,0111,one_shot,One-shot,True,18.391694094985723,cadical,,,,,,
3sat_86.cnf,True,3.5186939133453365,True,0.5934880780987442,1111,one_shot,One-shot,True,0.5934880780987442,cadical,,,,,,
3sat_87.cnf,False,60.29619724667867,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_88.cnf,True,0.5570845800120036,True,5.834722600877285,1111,one_shot,One-shot,True,0.5570845800120036,one_shot,,,,,,
3sat_89.cnf,False,60.280463913345336,True,6.691836128942668,0111,one_shot,One-shot,True,6.691836128942668,cadical,,,,,,
3sat_9.cnf,False,60.28583058001201,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_90.cnf,False,60.29137376556397,True,6.742499434854835,0000,one_shot,One-shot,True,6.742499434854835,cadical,,,,,,
3sat_91.cnf,True,0.5476434322306315,True,0.5907984399236739,1111,one_shot,One-shot,True,0.5476434322306315,one_shot,,,,,,
3sat_92.cnf,True,9.0860070988973,True,0.6176080219447613,1111,one_shot,One-shot,True,0.6176080219447613,cadical,,,,,,
3sat_93.cnf,True,22.920073765563966,True,6.680826576892287,1111,one_shot,One-shot,True,6.680826576892287,cadical,,,,,,
3sat_94.cnf,True,2.0376670988972982,True,5.028286013752222,1111,one_shot,One-shot,True,2.0376670988972982,one_shot,,,,,,
3sat_95.cnf,False,60.2906070988973,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_96.cnf,True,0.5279067655639649,True,4.859460365027189,1111,one_shot,One-shot,True,0.5279067655639649,one_shot,,,,,,
3sat_97.cnf,False,60.28084043223063,True,35.70879242103547,0111,one_shot,One-shot,True,35.70879242103547,cadical,,,,,,
3sat_98.cnf,False,60.29837376556397,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_99.cnf,False,60.289507098897296,False,60.0,0000,one_shot,One-shot,False,60.0,none,,,,,,
3sat_0.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.44960028707377,,,,
3sat_1.cnf,,,True,5.248078817967325,1111,online,Online-Consistent Selector,True,3.2917032870737715,online,True,3.2917032870737715,,,,
3sat_10.cnf,,,True,0.6102093798108399,0000,online,Online-Consistent Selector,True,0.6102093798108399,cadical,False,60.44868028707378,,,,
3sat_100.cnf,,,True,1.4388732258230448,1111,online,Online-Consistent Selector,True,0.5560572870737711,online,True,0.5560572870737711,,,,
3sat_101.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.4466856204071,,,,
3sat_102.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.456811287073776,,,,
3sat_103.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.46130395374044,,,,
3sat_104.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.46698628707377,,,,
3sat_105.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.45620162040711,,,,
3sat_106.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.4597326204071,,,,
3sat_107.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.39018169209289,,,,
3sat_108.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.38857802542623,,,,
3sat_109.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.396344692092896,,,,
3sat_11.cnf,,,True,17.923918209969997,1111,online,Online-Consistent Selector,True,1.802338692092896,online,True,1.802338692092896,,,,
3sat_110.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.38851602542624,,,,
3sat_111.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.39098769209289,,,,
3sat_112.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.388801358759565,,,,
3sat_113.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.392649692092895,,,,
3sat_114.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.40221169209289,,,,
3sat_115.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.38999735875956,,,,
3sat_116.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.391369354614255,,,,
3sat_117.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.3829466879476,,,,
3sat_118.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.3805326879476,,,,
3sat_119.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.39233335461426,,,,
3sat_12.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.38650835461426,,,,
3sat_120.cnf,,,True,2.764279928058386,1111,online,Online-Consistent Selector,True,1.0769530212809244,online,True,1.0769530212809244,,,,
3sat_121.cnf,,,True,5.005294237285852,1111,online,Online-Consistent Selector,True,1.8167563546142576,online,True,1.8167563546142576,,,,
3sat_122.cnf,,,True,6.797467355150729,0000,online,Online-Consistent Selector,True,6.797467355150729,cadical,False,60.383530021280926,,,,
3sat_123.cnf,,,True,1.4617841257713735,0000,online,Online-Consistent Selector,True,1.4617841257713735,cadical,False,60.38971168794759,,,,
3sat_124.cnf,,,True,0.607330528087914,1111,online,Online-Consistent Selector,True,0.3969976879475911,online,True,0.3969976879475911,,,,
3sat_125.cnf,,,True,5.06095805298537,1111,online,Online-Consistent Selector,True,3.524796702331543,online,True,3.524796702331543,,,,
3sat_126.cnf,,,False,60.0,0000,online,Online-Consistent Selector,False,60.0,none,False,60.39812270233154,,,,
3sat_127.cnf,,,True,53.94842276209965,0000,online,Online-Consistent Selector,True,53.94842276209965,cadical,False,60.38603770233154,,,,
