solver_name,file_key,repeats,solved_repeats,stable_solved,time_mean,time_min,time_max,results
march,3sat_195.cnf,1,1,True,31.503499523736537,31.503499523736537,31.503499523736537,SATISFIABLE
march,3sat_196.cnf,1,1,True,2.2170502496883278,2.2170502496883278,2.2170502496883278,SATISFIABLE
march,3sat_197.cnf,1,1,True,34.06774029508233,34.06774029508233,34.06774029508233,UNSATISFIABLE
march,3sat_198.cnf,1,1,True,61.70611476665363,61.70611476665363,61.70611476665363,UNSATISFIABLE
march,3sat_199.cnf,1,1,True,25.02484443364665,25.02484443364665,25.02484443364665,UNSATISFIABLE
march,3sat_2.cnf,1,1,True,47.006943074055016,47.006943074055016,47.006943074055016,UNSATISFIABLE
march,3sat_20.cnf,1,1,True,4.691869942005724,4.691869942005724,4.691869942005724,SATISFIABLE
march,3sat_21.cnf,1,0,True,60.0,60.0,60.0,UNKNOWN
march,3sat_22.cnf,1,1,True,4.716745318844914,4.716745318844914,4.716745318844914,SATISFIABLE
march,3sat_23.cnf,1,1,True,24.41500745294616,24.41500745294616,24.41500745294616,UNSATISFIABLE
march,3sat_24.cnf,1,1,True,0.0193755612708628,0.0193755612708628,0.0193755612708628,SATISFIABLE
march,3sat_25.cnf,1,1,True,2.726760432124138,2.726760432124138,2.726760432124138,SATISFIABLE
march,3sat_26.cnf,1,1,True,41.00101640773937,41.00101640773937,41.00101640773937,UNSATISFIABLE
march,3sat_27.cnf,1,1,True,1.7170139970257878,1.7170139970257878,1.7170139970257878,SATISFIABLE
march,3sat_28.cnf,1,1,True,17.69372719526291,17.69372719526291,17.69372719526291,SATISFIABLE
march,3sat_29.cnf,1,1,True,5.8645732649602,5.8645732649602,5.8645732649602,SATISFIABLE
march,3sat_3.cnf,1,0,True,60.0,60.0,60.0,UNKNOWN
march,3sat_30.cnf,1,1,True,1.81133451173082,1.81133451173082,1.81133451173082,SATISFIABLE
march,3sat_31.cnf,1,0,True,60.0,60.0,60.0,UNKNOWN
march,3sat_32.cnf,1,1,True,19.368565074168146,19.368565074168146,19.368565074168146,UNSATISFIABLE
march,3sat_33.cnf,1,1,True,40.13284691097215,40.13284691097215,40.13284691097215,UNSATISFIABLE
march,3sat_34.cnf,1,1,True,61.53045356925577,61.53045356925577,61.53045356925577,UNSATISFIABLE
march,3sat_35.cnf,1,1,True,45.09882895974442,45.09882895974442,45.09882895974442,UNSATISFIABLE
march,3sat_36.cnf,1,1,True,43.34655355894938,43.34655355894938,43.34655355894938,UNSATISFIABLE
march,3sat_37.cnf,1,0,True,60.0,60.0,60.0,UNKNOWN
march,3sat_38.cnf,1,1,True,35.247693405952305,35.247693405952305,35.247693405952305,UNSATISFIABLE
march,3sat_39.cnf,1,1,True,50.46294754976407,50.46294754976407,50.46294754976407,UNSATISFIABLE
march,3sat_4.cnf,1,1,True,19.39896575594321,19.39896575594321,19.39896575594321,SATISFIABLE
march,3sat_40.cnf,1,1,True,1.8483193679712715,1.8483193679712715,1.8483193679712715,SATISFIABLE
march,3sat_41.cnf,1,1,True,33.53114919224754,33.53114919224754,33.53114919224754,UNSATISFIABLE
march,3sat_42.cnf,1,1,True,27.92988734599203,27.92988734599203,27.92988734599203,UNSATISFIABLE
march,3sat_43.cnf,1,1,True,35.287938989233226,35.287938989233226,35.287938989233226,UNSATISFIABLE
march,3sat_44.cnf,1,1,True,14.277272421866655,14.277272421866655,14.277272421866655,SATISFIABLE
march,3sat_45.cnf,1,1,True,31.84097604593262,31.84097604593262,31.84097604593262,UNSATISFIABLE
march,3sat_46.cnf,1,1,True,6.340577583760023,6.340577583760023,6.340577583760023,SATISFIABLE
march,3sat_47.cnf,1,1,True,0.3795259352773428,0.3795259352773428,0.3795259352773428,SATISFIABLE
march,3sat_48.cnf,1,1,True,4.393524257931858,4.393524257931858,4.393524257931858,SATISFIABLE
march,3sat_49.cnf,1,0,True,60.0,60.0,60.0,UNKNOWN
